param layers_in_out:,ELECTRICITY,GAS,COAL,URANIUM,AMMONIA,RES_WIND,RES_SOLAR,RES_HYDRO,RES_GEO ,CO2_ATM ,CO2_INDUSTRY,CO2_CAPTURED
ELECTRICITY,1,0,0,0,0,0,0,0,0,0,0,0
GAS,0,1,0,0,0,0,0,0,0,0,0,0
COAL,0,0,1,0,0,0,0,0,0,0,0,0
URANIUM,0,0,0,1,0,0,0,0,0,0,0,0
AMMONIA,0,0,0,0,1,0,0,0,0,0,0,0
ELEC_EXPORT,-1,0,0,0,0,0,0,0,0,0,0,0
CO2_EMISSIONS,0,0,0,0,0,0,0,0,0,0,-1,0
RES_WIND,0,0,0,0,0,1,0,0,0,0,0,0
RES_SOLAR,0,0,0,0,0,0,1,0,0,0,0,0
RES_HYDRO,0,0,0,0,0,0,0,1,0,0,0,0
RES_GEO,0,0,0,0,0,0,0,0,1,0,0,0
CO2_ATM ,0,0,0,0,0,0,0,0,0,1,0,0
CO2_INDUSTRY ,0,0,0,0,0,0,0,0,0,0,1,0
CO2_CAPTURED,0,0,0,0,0,0,0,0,0,0,0,1
NUCLEAR,1,0,0,-2.63164557,0,0,0,0,0,0,0,0
CCGT,1,-1.574499194,0,0,0,0,0,0,0,0,0.31746,0
CCGT_AMMONIA,1,0,0,0,-1.983870968,0,0,0,0,0,0,0
COAL_US,1,0,-2.026291943,0,0,0,0,0,0,0,0.734688,0
COAL_IGCC,1,0,-1.838734834,0,0,0,0,0,0,0,0.666684,0
PV,1,0,0,0,0,0,-1,0,0,0,0,0
WIND_ONSHORE,1,0,0,0,0,-1,0,0,0,0,0,0
WIND_OFFSHORE,1,0,0,0,0,-1,0,0,0,0,0,0
HYDRO_RIVER,1,0,0,0,0,0,0,-1,0,0,0,0
GEOTHERMAL,1,0,0,0,0,0,0,0,-1,0,0,0
EFFICIENCY,0,0,0,0,0,0,0,0,0,0,0,0
GRID,0,0,0,0,0,0,0,0,0,0,0,0
