Category,Subcategory,Technologies name,Technologies param,c_inv,c_maint,gwp_constr,lifetime,c_p,fmin_perc,fmax_perc,f_min,f_max,Comment
,,Name (simplified),Name (in model and documents),"[Meuro/GW]
[Meuro/GWh] 
[Meuro/(Mkmpass/h)] 
[Meuro/(Mtonkm/h)]","[Meuro/GW]
[Meuro/GWh] 
[Meuro/(Mkmpass/h)] 
[Meuro/(Mtonkm/h)]","[ktonCO2_eq/GW]
[ktonCO2_eq/GWh]
[ktonCO2_eq/(Mkmpass/h)]
[ktonCO2_eq/(Mtonkm/h)]",[years],[],[],[],[GW],[GW],
Electricity,Electricity,Nuclear, NUCLEAR ,4845.734619,102.930986,707.88,60,0.849,0,1,0,0,
Electricity,Electricity,Combined cycle gas turbine, CCGT ,764.952321,19.37373993,183.79,25,0.961538462,0,1,0,1000000000000000,
Electricity,Electricity,Amonia combined cycle gas turbine, CCGT_AMMONIA ,764.952321,19.37373993,183.79,25,0.62,0,1,0,1000000000000000,
Electricity,Electricity,Ultra-supercritical coal power plant, COAL_US ,2489.350187,29.06437818,331.6,35,0.868,0,1,0,0,
Electricity,Electricity,Intagrated gasification combined cycle with coal, COAL_IGCC ,3210.528994,47.89391701,331.6,35,0.856,0,1,0,0,
Electricity,Electricity,Photovoltaic, PV ,792.9836066,9.055933735,2081.43,25,1,0,1,0,59.2,
Electricity,Electricity,Wind onshore, WIND_ONSHORE ,1019.607843,11.85882353,622.85,30,1,0,1,0,10,
Electricity,Electricity,Wind offshore, WIND_OFFSHORE ,4867.48798,33.86553231,622.85,30,1,0,1,0,5,
Electricity,Electricity,Hydro river, HYDRO_RIVER ,5044.919936,50.4447982,1262.82,40,1,0,1,0,0.115,
Electricity,Electricity,Geothermal power plant, GEOTHERMAL ,7317.818182,135.9488,24929.09,30,0.95,0,1,0,0,
Infrastructure,Infrastructure,Efficiency mesures in energy system, EFFICIENCY ,5600,0,0,1,1,0,1,0,1000000000000000,
Infrastructure,Infrastructure,Electrical grid cost, GRID  ,74919.06355,0,0,80,1,0,1,0,1000000000000000,
Storage,Electricity storage,Batteries, BATT_LI ,253.5523535,0.391997682,61.3,15,1,0,1,0,1000000000000000,
Storage,Electricity storage,Batteries of electric cars, BEV_BATT ,0,0,0,1,1,0,1,0,1000000000000000,
Storage,Electricity storage,Batteries of plug-in hybrid cars, PHEV_BATT ,0,0,0,1,1,0,1,0,1000000000000000,
Storage,Electricity storage,Pumped hydro storage, PHS ,58.8,0,8.33,50,1,0,1,5,6.5,
