param :;storage_charge_time;storage_discharge_time;storage_availability;storage_losses
PHS;4.8309;4.2955;1;0
BATT_LI;4;4;1;0.0002
BEV_BATT;10;4;0.2;0.0002
PHEV_BATT;10;4;0.2;0.0002
TS_DEC_DIRECT_ELEC;4;4;1;0.00824
TS_DEC_HP_ELEC;4;4;1;0.00824
TS_DEC_THHP_GAS;4;4;1;0.00824
TS_DEC_COGEN_GAS;4;4;1;0.00824
TS_DEC_COGEN_OIL;4;4;1;0.00824
TS_DEC_ADVCOGEN_GAS;4;4;1;0.00824
TS_DEC_ADVCOGEN_H2;4;4;1;0.00824
TS_DEC_BOILER_GAS;4;4;1;0.00824
TS_DEC_BOILER_WOOD;4;4;1;0.00824
TS_DEC_BOILER_OIL;4;4;1;0.00824
TS_DHN_DAILY;60.3;60.3;1;0.00833
TS_DHN_SEASONAL  ;150;150;1;0.0000606
TS_HIGH_TEMP;2;2;1;0.000355
SEASONAL_NG;2256;752;1;0
SEASONAL_H2 ;4;4;1;0
SEASONAL_GASOLINE;144;144;1;0
SEASONAL_DIESEL;144;144;1;0
SEASONAL_LFO;144;144;1;0
CO2_STORAGE ;1;1;1;0
SLF_STO;1;1;1;0
